City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
359,angoche,55,MZ,1562718267,94,-16.23,39.91,64.67,5.12
360,cumra,0,TR,1562718267,31,37.57,32.77,75.2,10.29
361,manyana,0,AU,1562718267,71,-35.26,150.51,57.0,11.41
362,rabo de peixe,20,PT,1562718267,88,37.8,-25.58,66.2,3.36
363,arlit,36,NE,1562718268,21,18.74,7.39,94.91,7.29
364,hovd,20,NO,1562718268,93,63.83,10.7,51.01,1.12
365,lokosovo,16,RU,1562718268,76,61.13,74.84,51.89,5.53
366,alofi,40,NU,1562718268,69,-19.06,-169.92,82.4,12.75
367,ajdabiya,0,LY,1562718269,73,30.75,20.22,79.61,11.59
368,nichinan,75,JP,1562718269,83,31.65,131.31,77.0,4.7
369,banjar,21,ID,1562718269,92,-7.37,108.54,68.45,1.77
370,iguape,0,BR,1562718269,93,-24.7,-47.56,57.65,2.3
371,saint-louis,75,SN,1562718270,83,16.03,-16.5,77.0,9.17
372,namatanai,80,PG,1562718270,79,-3.66,152.44,79.43,10.94
373,seddon,20,AU,1562718270,66,-37.81,144.89,57.99,29.97
374,lodwar,24,KE,1562718270,47,3.12,35.6,81.77,14.27
375,forestville,75,CA,1562718271,67,48.74,-69.09,60.8,6.93
376,christchurch,99,NZ,1562718271,76,-43.53,172.64,54.0,6.93
377,fallon,75,US,1562718271,77,46.84,-105.12,62.6,18.34
378,olinda,20,AU,1562718272,66,-37.84,145.39,55.99,29.97
379,karratha,100,AU,1562718272,36,-20.74,116.85,70.43,3.96
380,waipawa,96,NZ,1562718272,68,-39.94,176.59,53.01,11.01
381,cangzhou,100,CN,1562718272,75,38.3,116.85,73.13,6.67
382,coahuayana,71,MX,1562718273,75,18.62,-100.35,79.97,5.61
383,mayskiy,90,RU,1562718273,77,43.63,44.06,68.0,8.16
384,bonthe,89,SL,1562718273,85,7.53,-12.5,76.55,9.71
385,narsaq,100,GL,1562718273,35,60.91,-46.05,57.2,11.41
386,firozpur,40,IN,1562718274,69,30.96,74.61,82.4,13.87
387,katobu,2,ID,1562718274,76,-4.94,122.53,77.27,5.06
388,surt,0,LY,1562718013,71,31.21,16.59,81.77,7.29
389,xifeng,66,CN,1562718275,59,42.73,124.72,77.09,5.66
390,paamiut,63,GL,1562718275,85,61.99,-49.67,44.87,9.26
391,tashtyp,88,RU,1562718275,94,52.8,89.89,59.99,3.29
392,qasigiannguit,20,GL,1562718275,50,68.82,-51.19,51.8,4.7
